,ad,count
0,ad369367187493,229
1,ad326417514499,219
2,ad146028888064,203
3,ad1099511627776,184
4,ad************,184
5,ad1108101562368,170
6,ad876173328398,160
7,ad730144440337,157
8,ad17179869192,157
9,ad1219770712107,153
10,ad403726925832,151
11,ad807453851657,141
12,ad1700807049221,138
13,ad1382979469357,131
14,ad1236950581260,129
15,ad798863917082,128
16,ad1597727834128,127
17,ad292057776133,124
18,ad824633720864,120
19,ad412316860435,120
20,ad309237645362,119
21,ad1219770712113,118
22,ad1133871366154,118
23,ad1039382085673,115
24,ad1151051235341,114
25,ad300647710720,110
26,ad266287972357,106
27,ad1305670057989,106
28,ad936302870528,106
29,ad292057776187,105
30,ad420906795027,104
31,ad1005022347309,104
32,ad1176821039159,103
33,ad1700807049294,102
34,ad1125281431597,100
35,ad154618822689,97
36,ad730144440336,96
37,ad163208757300,95
38,ad1065151889459,91
39,ad1297080123418,91
40,ad1099511627811,91
41,ad51539607574,90
42,ad953482739721,90
43,ad1005022347311,90
44,ad51539607558,90
45,ad1554778161161,90
46,ad661424963636,89
47,ad584115552280,89
48,ad223338299436,88
49,ad644245094435,87
50,ad1297080123413,87
51,ad1219770712098,86
52,ad979252543558,85
53,ad704374636598,85
54,ad1288490188840,84
55,ad652835029006,84
56,ad695784701989,84
57,ad1675037245457,84
58,ad1236950581278,84
59,ad867583393845,84
60,ad1374389534751,83
61,ad1546188226567,82
62,ad618475290625,81
63,ad360777252893,81
64,ad1211180777476,80
65,ad1460288880654,80
66,ad1030792151074,79
67,ad1520418422807,79
68,ad738734374933,79
69,ad1400159338544,79
70,ad60129542145,79
71,ad1614907703324,79
72,ad919123001371,78
73,ad103079215172,78
74,ad1632087572486,77
75,ad446676598824,76
76,ad979252543513,76
77,ad936302870578,76
78,ad867583393810,76
79,ad1597727834134,75
80,ad1159641169930,75
81,ad137438953491,75
82,ad240518168592,75
83,ad1546188226576,75
84,ad317827579945,74
85,ad1348619730997,74
86,ad206158430253,74
87,ad1262720385083,73
88,ad661424963585,73
89,ad798863917098,73
90,ad27,73
91,ad8589934651,73
92,ad1546188226609,72
93,ad1331439861772,72
94,ad1408749273109,72
95,ad919123001376,72
96,ad893353197569,71
97,ad541165879297,71
98,ad42949672988,71
99,ad635655159836,71
100,ad120259084293,71
101,ad652835029030,71
102,ad893353197593,71
103,ad317827579940,71
104,ad1700807049218,70
105,ad1090921693240,70
106,ad42949672982,70
107,ad1632087572515,70
108,ad721554505732,70
109,ad326417514536,70
110,ad1537598291986,70
111,ad841813590069,70
112,ad343597383691,70
113,ad34359738407,69
114,ad103079215104,69
115,ad944892805152,69
116,ad34,68
117,ad1262720385045,68
118,ad103079215124,68
119,ad1125281431552,67
120,ad420906795050,67
121,ad266287972405,67
122,ad678604832823,67
123,ad1022202216474,66
124,ad764504178719,66
125,ad128849018915,66
126,ad816043786258,66
127,ad936302870546,65
128,ad1030792151070,65
129,ad1262720385062,65
130,ad635655159833,65
131,ad395136991281,65
132,ad8589934644,65
133,ad1185410973704,65
134,ad377957122050,65
135,ad1340029796355,64
136,ad1391569403953,64
137,ad841813590060,63
138,ad1151051235329,63
139,ad1614907703297,63
140,ad326417514504,63
141,ad120259084302,63
142,ad60129542173,63
143,ad360777252871,63
144,ad1159641169921,63
145,ad326417514517,62
146,ad1211180777478,62
147,ad970662608913,62
148,ad1520418422824,62
149,ad395136991307,62
150,ad438086664234,61
151,ad1271310319653,61
152,ad1082331758610,61
153,ad1073741824051,61
154,ad687194767377,61
155,ad644245094460,61
156,ad592705486900,60
157,ad369367187482,60
158,ad609885356054,60
159,ad360777252941,60
160,ad292057776178,60
161,ad1477468749888,60
162,ad317827579943,60
163,ad386547056648,60
164,ad1176821039117,59
165,ad1503238553612,59
166,ad1563368095755,59
167,ad1254130450465,59
168,ad1279900254226,59
169,ad1417339207696,59
170,ad1056561954827,58
171,ad429496729655,58
172,ad1425929142310,58
173,ad266287972361,58
174,ad335007449134,58
175,ad1090921693197,58
176,ad944892805127,58
177,ad927712935984,58
178,ad515396075543,57
179,ad1563368095769,57
180,ad1236950581263,57
181,ad25769803807,57
182,ad1408749273120,57
183,ad223338299420,57
184,ad541165879309,57
185,ad1340029796396,57
186,ad841813590051,56
187,ad670014898215,56
188,ad1666447310913,56
189,ad1151051235393,55
190,ad1537598292015,55
191,ad841813590023,55
192,ad1194000908323,55
193,ad309237645324,55
194,ad240518168589,55
195,ad60129542150,55
196,ad695784701997,55
197,ad678604832815,55
198,ad429496729602,55
199,ad231928234042,54
200,ad635655159861,54
201,ad1657857376279,54
202,ad962072674308,54
203,ad532575944749,54
204,ad1322849927203,54
205,ad936302870591,54
206,ad549755813909,54
207,ad1245540515898,53
208,ad1211180777514,53
209,ad395136991270,53
210,ad1683627180052,53
211,ad1314259992586,53
212,ad1340029796357,53
213,ad1159641169939,53
214,ad1082331758645,53
215,ad790273982475,53
216,ad1417339207712,52
217,ad747324309515,52
218,ad670014898179,52
