,grp,count
0,grp1340029796352,91910
1,grp1511828488192,10085
2,grp1056561954816,9913
3,grp936302870528,9010
4,grp489626271744,4188
5,grp1108101562368,4186
6,grp1013612281856,3753
7,grp1589137899520,3468
8,grp377957122048,2669
9,grp644245094400,2657
10,grp670014898176,2520
11,grp257698037760,2311
12,grp936302870529,2044
13,grp687194767360,2032
14,grp1511828488193,2021
15,grp111669149696,1987
16,grp987842478080,1954
17,grp498216206336,1406
18,grp523986010112,1391
19,grp1468878815232,1323
20,grp704374636544,1310
21,grp197568495616,1303
22,grp206158430208,1288
23,grp1279900254208,1285
24,grp979252543488,1268
25,grp326417514496,1265
26,grp1434519076864,1186
27,grp17179869184,1116
28,grp85899345920,1112
29,grp317827579904,1062
30,grp1391569403904,1051
31,grp128849018880,1049
32,grp627065225216,988
33,grp1279900254209,969
34,grp1297080123392,864
35,grp1357209665536,850
36,grp996432412672,821
37,grp601295421440,818
38,grp94489280512,731
39,grp1047972020224,677
40,grp309237645312,660
41,grp1314259992576,575
42,grp1520418422784,548
43,grp1666447310848,539
44,grp764504178688,532
45,grp1322849927168,518
46,grp257698037761,483
47,grp163208757248,466
48,grp1606317768704,452
49,grp1271310319616,449
50,grp1357209665537,414
51,grp249108103168,399
52,grp1709396983808,383
53,grp343597383680,367
54,grp489626271745,361
55,grp317827579905,360
56,grp283467841536,359
57,grp584115552256,328
58,grp919123001344,322
59,grp1434519076865,307
60,grp1254130450432,301
61,grp1159641169920,282
62,grp1073741824000,252
63,grp317827579906,248
64,grp1194000908288,238
65,grp1425929142272,219
66,grp0,210
67,grp34359738368,210
68,grp970662608896,198
69,grp309237645313,189
70,grp1279900254210,175
71,grp1039382085632,172
72,grp1245540515840,163
73,grp1314259992577,156
74,grp1580547964928,145
75,grp214748364800,130
76,grp369367187456,125
77,grp429496729600,118
78,grp635655159808,110
79,grp463856467968,109
80,grp841813590016,105
81,grp1529008357376,96
82,grp927712935936,93
83,grp1022202216448,82
84,grp438086664192,78
85,grp721554505728,75
86,grp962072674304,75
87,grp1254130450433,74
88,grp1649267441664,65
89,grp738734374912,60
90,grp1571958030336,50
91,grp1468878815233,47
92,grp51539607552,43
93,grp446676598784,41
94,grp180388626432,38
95,grp566935683072,36
96,grp1090921693184,34
97,grp343597383681,34
98,grp17179869185,30
99,grp1709396983809,27
100,grp1254130450434,27
101,grp1073741824001,26
102,grp489626271746,20
103,grp1494648619008,19
104,grp1357209665538,12
105,grp1443109011456,11
106,grp1279900254211,2
107,grp1022202216449,1
